cost,gamma,degree,error
0.01,1.0,1,0.2535938
0.01,1.0,2,0.3214063
0.01,1.0,3,0.315
0.01,1.0,4,0.3726563
0.01,1.0,5,0.3667187
0.01,10.0,1,0.254375
0.01,10.0,2,0.2875
0.01,10.0,3,0.368125
0.01,10.0,4,0.374375
0.01,10.0,5,0.3667187
0.01,100.0,1,0.2510938
0.01,100.0,2,0.3048437
0.01,100.0,3,0.3692187
0.01,100.0,4,0.374375
0.01,100.0,5,0.3667187
0.01,1000.0,1,0.2517187
0.01,1000.0,3,0.3664062
0.01,1000.0,4,0.374375
0.01,1000.0,5,0.3667187
0.1,1e-06,1,0.505
0.1,1e-06,2,0.505
0.1,1e-06,3,0.505
0.1,1e-06,4,0.505
0.1,1e-06,5,0.505
0.1,1e-05,1,0.505
0.1,1e-05,2,0.505
0.1,1e-05,3,0.505
0.1,1e-05,4,0.505
0.1,1e-05,5,0.505
0.1,0.0001,1,0.505
0.1,0.0001,2,0.505
0.1,0.0001,3,0.505
0.1,0.0001,4,0.505
0.1,0.0001,5,0.505
0.1,0.001,1,0.310625
0.1,0.001,2,0.5028125
0.1,0.001,3,0.505
0.1,0.001,4,0.505
0.1,0.001,5,0.505
0.1,0.01,1,0.2721875
0.1,0.01,2,0.470625
0.1,0.01,3,0.4765625
0.1,0.01,4,0.4829688
0.1,0.01,5,0.486875
0.1,0.1,1,0.2535938
0.1,0.1,2,0.350625
0.1,0.1,3,0.2823438
0.1,0.1,4,0.2934375
0.1,0.1,5,0.2865625
0.1,1.0,1,0.2545312
0.1,1.0,2,0.2910937
0.1,1.0,3,0.3421875
0.1,1.0,4,0.374375
0.1,1.0,5,0.3667187
0.1,10.0,1,0.250625
0.1,10.0,2,0.2834375
0.1,10.0,3,0.36875
0.1,10.0,4,0.374375
0.1,10.0,5,0.3667187
0.1,100.0,1,0.2523437
0.1,100.0,3,0.3692187
0.1,100.0,4,0.374375
0.1,100.0,5,0.3667187
0.1,1000.0,1,0.2526563
0.1,1000.0,3,0.3664062
0.1,1000.0,4,0.374375
0.1,1000.0,5,0.3667187
1.0,1e-06,1,0.505
1.0,1e-06,2,0.505
1.0,1e-06,3,0.505
1.0,1e-06,4,0.505
1.0,1e-06,5,0.505
1.0,1e-05,1,0.505
1.0,1e-05,2,0.505
1.0,1e-05,3,0.505
1.0,1e-05,4,0.505
1.0,1e-05,5,0.505
1.0,0.0001,1,0.310625
1.0,0.0001,2,0.505
1.0,0.0001,3,0.505
1.0,0.0001,4,0.505
1.0,0.0001,5,0.505
1.0,0.001,1,0.2721875
1.0,0.001,2,0.493125
1.0,0.001,3,0.4979688
1.0,0.001,4,0.5009375
1.0,0.001,5,0.5079687
1.0,0.01,1,0.2535938
1.0,0.01,2,0.36625
1.0,0.01,3,0.3585937
1.0,0.01,4,0.4621875
1.0,0.01,5,0.4784375
1.0,0.1,1,0.254375
1.0,0.1,2,0.3214063
1.0,0.1,3,0.2920313
1.0,0.1,4,0.3121875
1.0,0.1,5,0.31875
1.0,1.0,1,0.2507813
1.0,1.0,2,0.2870313
1.0,1.0,3,0.356875
1.0,1.0,4,0.374375
1.0,1.0,5,0.3667187
1.0,10.0,1,0.251875
1.0,10.0,2,0.32125
1.0,10.0,3,0.36875
1.0,10.0,4,0.374375
1.0,10.0,5,0.3667187
1.0,100.0,1,0.2523437
1.0,100.0,3,0.3692187
1.0,100.0,4,0.374375
1.0,100.0,5,0.3667187
1.0,1000.0,1,0.2585938
1.0,1000.0,3,0.3664062
1.0,1000.0,4,0.374375
1.0,1000.0,5,0.3667187
10.0,1e-06,1,0.505
10.0,1e-06,2,0.505
10.0,1e-06,3,0.505
10.0,1e-06,4,0.505
10.0,1e-06,5,0.505
10.0,1e-05,1,0.310625
10.0,1e-05,2,0.505
10.0,1e-05,3,0.505
10.0,1e-05,4,0.505
10.0,1e-05,5,0.505
10.0,0.0001,1,0.2721875
10.0,0.0001,2,0.5028125
10.0,0.0001,3,0.505
10.0,0.0001,4,0.505
10.0,0.0001,5,0.505
10.0,0.001,1,0.2534375
10.0,0.001,2,0.4704687
10.0,0.001,3,0.4892187
10.0,0.001,4,0.4971875
10.0,0.001,5,0.4984375
10.0,0.01,1,0.2546875
10.0,0.01,2,0.3504687
10.0,0.01,3,0.2925
10.0,0.01,4,0.4235937
10.0,0.01,5,0.4721875
10.0,0.1,1,0.2507813
